PubmedID,Title,Publication Date,Authors,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066448,BLIMP-1-dependent differentiation of T follicular helper cells into Foxp3,2025,"Josep Garnica, Jun Yamanouchi, Robert Clarke, Joel Moro, Shari Thiessen, Javier Montaño, Debajyoti Mondal, Pau Serra, Pere Santamaria","Josep Garnica, Joel Moro, Javier Montaño, Pau Serra, Pere Santamaria",None,N/A
40066386,Allergen Immunotherapy in Autoimmune Terrain: A Case Study.,2025,"Shambo S Samajdar, Saibal Moitra, Shatavisa Mukherjee, Jyotirmoy Pal, Shashank R Joshi",None,"Diabetes and Allergy-Asthma Therapeutics Specialty Clinic, Kolkata, India., Department of Clinical and Experimental Pharmacology, School of Tropical Medicine, Kolkata, MD, West Bengal India.",N/A
40066378,Atypical Presentation of Skull Base Osteomyelitis Involving the Stylomastoid Foramen-A Case Report.,2025,"T N Janakiram, G Arun Kumar, Mansi A R Venkatramanan, Soumya Sampath, J D Sathyanarayanan",None,None,N/A
40066374,Bioactive and degradable collagen-based three-dimensional scaffold encapsulated with adipose mesenchymal stem cells-derived exosomes improved diabetic wound healing.,2025,"Fereshteh Talebpour Amiri, Melody Omraninava, Shadman Shahzamani, Amirali Khodashenas, Arman Daryakar, Davood Nasiry",None,"Department of Medical Biotechnology, Faculty of Advanced Technologies in Medicine, Mazandaran University of Medical Sciences, Sari, Iran.",N/A
40066372,Application of Ultrasound Localization Microscopy in Evaluating the Type 2 Diabetes Progression.,2025,"Tao Zhang, Jipeng Yan, Xinhuan Zhou, Bihan Wu, Chao Zhang, Mengxing Tang, Pintong Huang",None,None,N/A
40066317,Etiologies of exocrine pancreatic insufficiency.,2025,"Chengji Tang, Jia Zhou, Yinghui Song, Sulai Liu",None,None,N/A
40066291,Asiaticoside-nitric oxide synergistically accelerate diabetic wound healing by regulating key metabolites and SRC/STAT3 signaling.,2025,"Xingrui Mu, Jitao Chen, Huan Zhu, Junyu Deng, Xingqian Wu, Wenjie He, Penghui Ye, Rifang Gu, Youzhi Wu, Felicity Han, Xuqiang Nie",None,"Key Laboratory of Basic Pharmacology of Ministry of Education and Joint International Research Laboratory of Ethnomedicine of Ministry of Education, Zunyi Medical University, No. 6 West Xuefu Road, Xinpu New District, Zunyi 563006, China.",N/A
40066280,Real World Evidence on Hormone Receptor Positive and Human Epidermal Growth Factor Receptor 2 Negative Metastatic Breast Cancer in Italy: Insights From 2017 to 2021 Data.,2025,"Valentina Perrone, Melania Leogrande, Maria Cappuccilli, Stefania Saragoni, Andrea Cinti Luciani, Luca Degli Esposti","Valentina Perrone, Melania Leogrande, Maria Cappuccilli, Stefania Saragoni, Andrea Cinti Luciani, Luca Degli Esposti",None,N/A
40066272,The landscape of biofilm models for phage therapy: mimicking biofilms in diabetic foot ulcers using 3D models.,2025,"Mark Grevsen Martinet, Marvin Thomas, Jörg Bojunga, Mathias W Pletz, Maria J G T Vehreschild, Silvia Würstle",None,None,N/A
40066222,RNA Modification in Metabolism.,2025,"Yadi Liu, Zhongyan Sun, Dingkun Gui, Yonghua Zhao, Youhua Xu",None,None,N/A
40065980,"Elderly Patients with Tuberculosis Combined with Diabetes Mellitus: A Comprehensive Analysis of Lymphocyte Subpopulation Dynamics, Clinical Features, Drug Resistance and Disease Regression.",2025,"Xin Wang, Yu Song, Na Li, JingYi Huo, BingBing Wang, Xue Jiang, YuLiang Zhang",None,None,N/A
40065897,Scrotal Abscess in a Patient With Chronic Kidney Disease and a Chronic Foley Catheter: A Case Report.,2025,"Chukwuemeka E Ogbu, Kevin Le, Stella C Ogbu, Toyin Ingram, Byron Ingram","Chukwuemeka E Ogbu, Kevin Le, Stella C Ogbu, Toyin Ingram, Byron Ingram",None,N/A
40065896,COVID-19 Presenting With Intractable Hiccups: A Literature Review and a New Case.,2025,"Mohammed Aloqaily, Alaa Tarazi, Abdullah Ammar, Ibrahim Alfarrajin, Raed Ababneh, Wafi A Aloqaily, Yousef Alasaad","Raed Ababneh, Yousef Alasaad",None,N/A
40065880,Anti-N-Methyl-D-Aspartate Receptor Encephalitis Associated With Small Cell Lung Cancer: A Case Report.,2025,"Yemesrach Kerego, Colleen Bramwell, Bolanle Dada",None,None,N/A
40065870,"An Investigation Into the Hepatoprotective Properties of Berberis asiatica, Withania somnifera, and Their Combination in Streptozotocin-Nicotinamide-Induced Type II Diabetes Mellitus in Wistar Rats.",2025,"Devkumar D Tiwari, Vandana M Thorat, Prathamesh V Pakale",None,"Department of Pharmacology, Krishna Institute of Medical Sciences, Krishna Vishwa Vidyapeeth (Deemed to be University), Karad, IND., Department of Pharmacology and Therapeutics, Krishna Institute of Medical Sciences, Krishna Vishwa Vidyapeeth (Deemed to be University), Karad, IND.",N/A
40065869,Silicone Oil Droplets in the Vitreous After an Anti-vascular Endothelial Growth Factor (VEGF) Injection: A Complication of Syringe Lubrication.,2025,"Sripathi Kamath, Akshata Charlotte, Nandini Nandan",Nandini Nandan,None,N/A
